SCHEDULE,TABLE,DEL FILE
ARDE01,ARDE.CRM_ROADMAP_STATUS_D,/db2/db2load1/data/ARDE/data_test/ARDE.CRM_ROADMAP_STATUS_D.del
ARDE02,ARDE.CRM_ROADMAP_WEEKLY_STATUS,/db2/db2load1/data/ARDE/data_test/ARDE.CRM_ROADMAP_WEEKLY_STATUS.del
ARDE01,ARDE.GBP_SEGMENTED_COVERAGE_PARTNERS_D,/db2/db2load1/data/ARDE/data_test/ARDE.GBP_SEGMENTED_COVERAGE_PARTNERS_D.del
ARDE01,ARDE.IR_BRAND_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_BRAND_D.del
ARDE01,ARDE.IR_COVERAGE_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_COVERAGE_D.del
ARDE53,ARDE.IR_CUSTOMER_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_CUSTOMER_D_AP.del
ARDE54,ARDE.IR_CUSTOMER_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_CUSTOMER_D_EU.del
ARDE55,ARDE.IR_CUSTOMER_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_CUSTOMER_D_AM.del
ARDE00,ARDE.IR_EIW_DATAMART_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_DATAMART_D.del
ARDE53,ARDE.IR_EIW_GEO_LOCATION_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_GEO_LOCATION_D_AP.del
ARDE54,ARDE.IR_EIW_GEO_LOCATION_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_GEO_LOCATION_D_EU.del
ARDE55,ARDE.IR_EIW_GEO_LOCATION_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_GEO_LOCATION_D_AM.del
ARDE53,ARDE.IR_EIW_PEOPLE_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_PEOPLE_D_AP.del
ARDE54,ARDE.IR_EIW_PEOPLE_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_PEOPLE_D_EU.del
ARDE55,ARDE.IR_EIW_PEOPLE_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_PEOPLE_D_AM.del
ARDE01,ARDE.IR_EIW_RPT_BRAND_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_RPT_BRAND_D.del
ARDE01,ARDE.IR_EIW_SELL_CYCLE_D,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_SELL_CYCLE_D.del
ARDE03,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_AM.del
ARDE03,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_AP.del
ARDE03,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_EU.del
ARDE04,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_AM.del
ARDE04,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_AP.del
ARDE04,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_EU.del
ARDE05,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_AM.del
ARDE05,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_AP.del
ARDE05,ARDE.IR_EIW_WKLY_REV_DTL_MAP,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_DTL_MAP_EU.del
ARDE03,ARDE.IR_EIW_WKLY_REV_F,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_F_AM.del
ARDE03,ARDE.IR_EIW_WKLY_REV_F,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_F_AP.del
ARDE03,ARDE.IR_EIW_WKLY_REV_F,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_F_EU.del
ARDE04,ARDE.IR_EIW_WKLY_REV_F,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_F_AM.del
ARDE04,ARDE.IR_EIW_WKLY_REV_F,/db2/db2load1/data/ARDE/data_test/ARDE.IR_EIW_WKLY_REV_F_AP.del
