Project,Folder,Job,Dependency
ESAOPP,/,(no jobs), 
ESAOPP,/Jobs/,(no jobs), 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_00_Seq,02:30 - Mon/Tue/Wed/Thu/Fri
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_01_Copy_Lookups_SQL, 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_02_Execute_Queries, 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_03_Count_Records_Updated, 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_04_Execute_Updated_Queries, 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_05_EOJ_Updated, 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_06_Update_Lookups_SQL, 
ESAOPP,/Jobs/COGNOS_PROMPT/,EIW_07_LOOKUPS_TO_PDA_LOOKUPS, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,CRM_INSTANCE_CODE_Fix_SEQ, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,CRM_OPP_CUSTOMER_Delete_Rows, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,CRM_OPP_CUSTOMER_Update_crm_instance_code, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,Cube_crm_customer_3_GEO_SEQ, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,SC_COMPONENT_SK_PAR_Fix_crm_instance_code, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,SC_OPP_CMPNT_SK_CRM_INSTANCE_CODE_FIX_SEQ, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,SC_OPPORTUNITY_SK_PAR_Fix_crm_instance_code, 
ESAOPP,/Jobs/CRM_INSTANCE_CODE_fix/,SC_OPPORTUNITY_SK_PAR_Fix_crm_instance_code_II, 
ESAOPP,/Jobs/CUBE_CRM_CUSTOMER/,BLANKREF_PAR, 
ESAOPP,/Jobs/CUBE_CRM_CUSTOMER/,CRM_OPP_CUSTOMER_PAR, 
ESAOPP,/Jobs/CUBE_CRM_CUSTOMER/,CRM_OPP_CUSTOMER_PAR.30, 
ESAOPP,/Jobs/CUBE_CRM_CUSTOMER/,CRM_OPP_CUSTOMER_PAR.AM, 
ESAOPP,/Jobs/CUBE_CRM_CUSTOMER/,CRM_OPP_CUSTOMER_PAR.AP, 
