Server run,workstation,stream,job,dependency,schedule,ET,user,script
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_DM_ARDELOAD,EIW_ESADM_ARDE04_LOAD,/db2/db2load1/data/ARDE/data_test/group_arde04_ready_to_load,wed,00:24:49,omatic,/home/omatic/cdw/submit_PM.sh ARDE04
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_DM_ARDELOAD,EIW_ESADM_ARDE05_LOAD,/db2/db2load1/data/ARDE/data_test/group_arde05_ready_to_load,thu,00:36:31,omatic,/home/omatic/cdw/submit_PM.sh ARDE05
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_DM_ARDELOAD,EIW_ESADM_ARDE07_LOAD,/db2/db2load1/data/ARDE/data_test/group_arde07_ready_to_load,thu,00:00:10,omatic,/home/omatic/cdw/submit_PM.sh ARDE07
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_DM_ARDELOAD,EIW_ESADM_ARDE52_LOAD,/db2/db2load1/data/ARDE/data_test/group_arde52_ready_to_load,wed,00:00:05,omatic,/home/omatic/cdw/submit_PM.sh ARDE52
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_DM_ARDELOAD,EIW_ESADM_ARDE55_LOAD,/db2/db2load1/data/ARDE/data_test/group_arde55_ready_to_load,thu,00:10:39,omatic,/home/omatic/cdw/submit_PM.sh ARDE55
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_EM_DLY_LOAD,EIW_EODEM_DOWN,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE","mon,tue,wed,thu,fri",00:00:00,omatic,/home/omatic/bin/eodtrigger.sh EM DOWN
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_EM_QTRSOL,EIW_SOL_LOAD_EM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE",wed,00:00:05,omatic,/home/omatic/cdw/submit_PM.sh EMADPM_FRI
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_EM_DLY_LOAD,EIW_EODEM_DOWN,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE","mon,tue,wed,thu,fri",00:00:01,omatic,/home/omatic/bin/eodtrigger.sh EM DOWN
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_EM_QTRSOL,EIW_SOL_LOAD_EM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE",wed,00:00:10,omatic,/home/omatic/cdw/submit_PM.sh EMADPM_FRI
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_EM_DLY_LOAD,EIW_DLY_OPP_STAR_LOAD_EM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_DM_30_DONE,B03ACIAPP019#EIW_EODEM_DOWN","mon,tue,wed,thu,fri",00:04:08,omatic,/home/omatic/cdw/submit_PM.sh EMDAILY
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_EM_DLY_LOAD,EIW_DLY_OPP_STAR_LOAD_EM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_DM_30_DONE,B03ACIAPP019#EIW_SWGOPPC_D_30.EIW_SWGOPPC_30,B03ACIAPP018#EIW_EODEM_DOWN","mon,tue,wed,thu,fri",00:05:35,omatic,/home/omatic/cdw/submit_PM.sh EMDAILY
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_EM_WKLY_LOAD,EIW_COB_LOAD_EM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE,B03ACIAPP017#EIW_EM_DLY_LOAD.EIW_EODEM_DOWN",wed,00:02:07,omatic,/home/omatic/cdw/submit_PM.sh EMWKLY_DLY
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_EM_WKLY_LOAD,EIW_COB_LOAD_EM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_30_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_30_DONE,B03ACIAPP018#EIW_EM_DLY_LOAD.EIW_EODEM_DOWN",wed,00:03:47,omatic,/home/omatic/cdw/submit_PM.sh EMWKLY_DLY
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_AM_DLY_LOAD,EIW_EODAM_DOWN,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_AM_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_AM_DONE","mon,tue,wed,thu,fri",00:00:00,omatic,/home/omatic/bin/eodtrigger.sh AM DOWN
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_AM_QTRSOL,EIW_SOL_LOAD_AM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_AM_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_AM_DONE",wed,00:00:10,omatic,/home/omatic/cdw/submit_PM.sh AMADPM_FRI
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_AM_DLY_LOAD,EIW_EODAM_DOWN,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_AM_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_AM_DONE","mon,tue,wed,thu,fri",00:00:01,omatic,/home/omatic/bin/eodtrigger.sh AM DOWN
B03ACIAPP018.ahe.boulder.ibm.com,B03ACIAPP018,EIW_AM_QTRSOL,EIW_SOL_LOAD_AM,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_AM_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_AM_DONE",wed,00:00:16,omatic,/home/omatic/cdw/submit_PM.sh AMADPM_FRI
