30,B03ACIAPP017,EIW_AP_RDMAP_DLY,EIW_RM_DLY_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh AP_RM_DLY,omatic,"B03ACIAPP019#EIW_RM_D_AP.EIW_ROADMAP_FACT_AP_D,B03ACIAPP019#EIW_RM_W_AP.EIW_ROADMAP_FACT_AP_W",EIW_AP_RDMAPDLY
35,B03ACIAPP017,EIW_AP_LOAD,EIW_DAILY_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh APADPM_DLY,omatic,"B03ACIAPP017#EIW_PM_DLY_AP.EIW_PM_DLYHANDOFF,B03ACIAPP019#EIW_OPPFD_QTR_AP.EIW_OPP_FCST_DEC_QTR_AP",EIW_APLOAD
2,B03ACIAPP017,EIW_AM_RDMAP_DLY,EIW_RM_DLY_LOAD_AM,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh AM_RM_DLY,omatic,"B03ACIAPP019#EIW_RM_D_AM.EIW_ROADMAP_FACT_AM_D,B03ACIAPP019#EIW_RM_W_AM.EIW_ROADMAP_FACT_AM_W",EIW_AM_RDMAPDLY
5,B03ACIAPP017,EIW_AM_LOAD,EIW_DAILY_LOAD_AM,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/cdw/submit_PM.sh AMADPM_DLY,omatic,"B03ACIAPP017#EIW_PM_DLY_AM.EIW_PM_DLYHANDOFF,B03ACIAPP019#EIW_OPPFD_QTR_AM.EIW_OPP_FCST_DEC_QTR_AM,B03ACIAPP019#EIW_SNAP_DAILY.EIW_SNAP_D",EIW_AMLOAD
24,B03ACIAPP017,EIW_AP_DLY_LOAD,EIW_EODAP_DOWN,B03ACIAPP017.ahe.boulder.ibm.com,,/home/omatic/bin/eodtrigger.sh AP DOWN,omatic,"/db2/db2load1/data/Ascential/VITALITY/FLAG/ESA_CONFORM_AP_DONE,/db2/db2load1/data/Ascential/VITALITY/FLAG/OPPSTAR_CONFORM_AP_DONE",EIW_AP_DLYLOAD
1,B03ACIAPP017,EIW_ERDM,EIW_ERDM_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,/home/erdm/EIW/EIW.sh,erdm,-,EIWERDM
12,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_MAP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange_map.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET4,EIW_DPROPLOAD1
17,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_MAP3,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange_map3.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_MAP2,EIW_DPROPLOAD1
16,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_MAP2,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange_map2.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_MAP1,EIW_DPROPLOAD1
14,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_MAP1,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange_map1.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_MAP,EIW_DPROPLOAD1
18,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_CVI,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange_cvi.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_MAP3,EIW_DPROPLOAD1
21,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_NET6,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange6_apply.sh,eiwdprop,B03ACIAPP017#EIW_DPROP_LOAD1.EIW_APPLY_NET5,EIW_DPROPLOAD1
20,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_NET5,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange5_apply.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_CVI,EIW_DPROPLOAD1
41,B03ACIAPP017,EIW_DPROP_LOAD2,EIW_APPLY_NET4,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange4_apply.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET3,EIW_DPROPLOAD2
40,B03ACIAPP017,EIW_DPROP_LOAD2,EIW_APPLY_NET3,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange3_apply.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET2,EIW_DPROPLOAD2
10,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_NET3,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange3_apply.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET2,EIW_DPROPLOAD1
9,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_NET2,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange2_apply.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET1,EIW_DPROPLOAD1
39,B03ACIAPP017,EIW_DPROP_LOAD2,EIW_APPLY_NET2,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange2_apply.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET1,EIW_DPROPLOAD2
38,B03ACIAPP017,EIW_DPROP_LOAD2,EIW_APPLY_NET1,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange1_apply.sh,eiwdprop,-,EIW_DPROPLOAD2
8,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_APPLY_NET1,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/netchange1_apply.sh,eiwdprop,--,EIW_DPROPLOAD1
13,B03ACIAPP017,EIW_DPROP_LOAD1,EIW_END_DPROP1,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/END_DPROPger_AP.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET4,EIW_DPROPLOAD1
42,B03ACIAPP017,EIW_DPROP_LOAD2,EIW_END_DPROP1,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwdprop/PROC_CONTROL/run0/END_DPROPger_AP.sh,eiwdprop,B03ACIAPP017#EIW_APPLY_NET4,EIW_DPROPLOAD2
32,B03ACIAPP017,EIW_PM_DLY_AP,EIW_PM_SECURITY,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/security.sh,eiwclst,B03ACIAPP017#/db2/db2load3/LM/data/FLAG/PM_CMPNT_FACT_AP_DONE,EIW_PM_DLYAP
15,B03ACIAPP017,EIW_LLL_REF,EIW_REF_BRAND,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/reftbrand.sh,eiwclst,B03ACIAPP017#EIW_DPROP_LOAD1.EIW_END_DPROP1,EIW_LLLREF
22,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTLC_AP_MTRC_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/metrics.sh AP,eiwclst,"B03ACIAPP019#EIW_OPPDTLC_AP_CMF1_AP,B03ACIAPP019#EIW_OPPDTLC_AP_ODEC1_AP,",EIW_OPPDTLCAP
23,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTL_AP_OWNG_AP,B03ACIAPP017.ahe.boulder.ibm.com,,/home/eiwclst/LM/wrk/fulfillcode.sh AP,eiwclst,"B03ACIAPP019#EIW_OPPDTLC_AP_CMF2_AP,",EIW_OPPDTLCAP
